Current Time,GPS Time,clock.zone Time,Drift,clock.zone Sync Precision,Fix Quality,Number of SAT
2023-06-15 18:03:02.792106,1686830583,1686798182.78,0.7168339011532822,0.188,1,12
2023-06-15 18:03:03.400460,1686830584,1686798183.4,0.15987605519321624,0.188,1,12
2023-06-15 18:03:04.411855,1686830585,1686798184.41,0.9966953250314557,0.185,1,12
2023-06-15 18:03:05.413151,1686830586,1686798185.41,0.12697569517116636,0.185,1,12
2023-06-15 18:03:06.406565,1686830587,1686798186.4,0.23291909614325812,0.185,1,12
2023-06-15 18:03:07.405540,1686830588,1686798187.4,0.8666167090157656,0.188,1,12
2023-06-15 18:03:08.414132,1686830589,1686798188.41,0.3826547826337954,0.188,1,12
2023-06-15 18:03:09.410086,1686830590,1686798189.41,0.3666096604374808,0.188,1,12
2023-06-15 18:03:10.404372,1686830591,1686798190.4,0.455908082737599,0.183,1,12
2023-06-15 18:03:11.409282,1686830592,1686798191.41,0.884028623599733,0.183,1,12
2023-06-15 18:03:12.409332,1686830593,1686798192.41,0.5857911263519566,0.183,1,12
2023-06-15 18:03:13.404985,1686830594,1686798193.4,0.057250351367921226,0.185,1,12
2023-06-15 18:03:14.399871,1686830595,1686798194.39,0.5600266615472245,0.185,1,12
2023-06-15 18:03:15.409504,1686830596,1686798195.4,0.5612687850057761,0.185,1,12
2023-06-15 18:03:16.415719,1686830597,1686798196.41,0.5774765607750177,0.188,1,12
2023-06-15 18:03:17.398652,1686830598,1686798197.39,0.9591851146836711,0.188,1,12
2023-06-15 18:03:18.400469,1686830599,1686798198.39,0.6810036539324148,0.188,1,12
2023-06-15 18:03:19.396711,1686830600,1686798199.38,0.7747168042398106,0.2,1,12
2023-06-15 18:03:20.396451,1686830601,1686798200.39,0.5335723579891876,0.2,1,12
2023-06-15 18:03:21.406996,1686830602,1686798201.4,0.7046498368310827,0.2,1,12
2023-06-15 18:03:22.411309,1686830603,1686798202.4,0.846944311238895,0.186,1,12
2023-06-15 18:03:23.409954,1686830604,1686798203.41,0.5728410780261732,0.186,1,12
2023-06-15 18:03:24.406002,1686830605,1686798204.4,0.4512980713326531,0.186,1,12
2023-06-15 18:03:25.404657,1686830606,1686798205.4,0.963458101797138,0.231,1,12
2023-06-15 18:03:26.409389,1686830607,1686798206.41,0.528089956745804,0.231,1,12
2023-06-15 18:03:27.404657,1686830608,1686798207.4,0.2526069031871616,0.231,1,12
2023-06-15 18:03:28.409554,1686830609,1686798208.4,0.20151097016806174,0.189,1,12
2023-06-15 18:03:29.408590,1686830610,1686798209.4,0.18255148625621276,0.189,1,12
2023-06-15 18:03:30.404732,1686830611,1686798210.39,0.17251887759496198,0.189,1,12
2023-06-15 18:03:31.396553,1686830612,1686798211.38,0.36941363230812085,0.188,1,12
2023-06-15 18:03:32.403974,1686830613,1686798212.39,0.3421712921645901,0.188,1,12
2023-06-15 18:03:33.407903,1686830614,1686798213.4,0.7099788733403679,0.188,1,12
2023-06-15 18:03:34.405734,1686830615,1686798214.39,0.7530171243530522,0.183,1,12
2023-06-15 18:03:35.401168,1686830616,1686798215.4,0.0743319961787493,0.183,1,12
2023-06-15 18:03:36.405239,1686830617,1686798216.4,0.8058817485698965,0.183,1,12
2023-06-15 18:03:37.410086,1686830618,1686798217.4,0.7844943696431064,0.185,1,12
